Ardenna pacifica_Veíchrovník klinochvostý
Ardeola bacchus_Čeaplička bielokrídla
Ardeola grayii_Čeaplička ryžová
Ardeola ralloides_Čeaplička vlasatá
Arenaria interpres_Keamenár strakatý
Arenaria melanocephala_Keamenár čiernohlavý
Argusianus argus_Aergus páví
Arizelocichla chlorigula_Aefrobyl zelenohrdlý
Arremon abeillei_Setrnádlik čiapočkatý
Arremon assimilis_Setrnádlik sivopásikavý
Arremon atricapillus_Setrnádlik čiernohlavý
Arremon aurantiirostris_Setrnádlik zlatozobý
Arremon basilicus_Setrnádlik santamartský
Arremon brunneinucha_Setrnádlik hnedotylový
Arremon castaneiceps_Setrnádlik olivový
Arremon costaricensis_Setrnádlik bieloprsý
Arremon crassirostris_Setrnádlik maskový
Arremon flavirostris_Setrnádlik žltozobý
Arremon franciscanus_Setrnádlik brazílsky
Arremon schlegeli_Setrnádlik zlatokrídly
Arremon semitorquatus_Setrnádlik ozdobný
Arremon taciturnus_Setrnádlik svrčavý
Arremon torquatus_Setrnádlik pásikár
Arremon virenticeps_Setrnádlik borinový
Arremonops chloronotus_Setrnádlik zelenochrbtý
Arremonops conirostris_Setrnádlik pláštikový
Arremonops rufivirgatus_Setrnádlik krovinový
Arremonops tocuyensis_Setrnádlik ranný
Arses telescopthalmus_Meonarch volánikový
Artamus cinereus_Hemyziar škraboškový
Artamus cyanopterus_Hemyziar modrokrídly
Artamus fuscus_Hemyziar sivý
Artamus leucorynchus_Hemyziar bielobruchý
Artamus maximus_Hemyziar veľký
Artamus personatus_Hemyziar čiernohrdlý
Artamus superciliosus_Hemyziar kočovný
Artemisiospiza belli_Setrnádlik Bellov
Artemisiospiza nevadensis_Setrnádlik behavý
Artisornis metopias_Peenička červenohlavá
Artisornis moreaui_Peenička dlhozobá
Arundinax aedon_Seedmohlások hrubozobý
Arundinicola leucocephala_Peamuchár bielohlavý
Asemospiza fuliginosa_Oestrovčan čierny
Asemospiza obscura_Oestrovčan hnedý
Asio clamator_Striped Owl
Asio flammeus_Meyšiarka močiarna
Asio otus_Meyšiarka ušatá
Asio stygius_Meyšiarka tmavá
Aspatha gularis_Meomot modrohrdlý
Asthenes anthoides_Keošikárik ľabtuškovitý
Asthenes arequipae_Keošikárik tmavokrídly
Asthenes baeri_Keošikárik krátkozobý
Asthenes coryi_Keošikárik venezuelský
Asthenes dorbignyi_Keošikárik svetloprsý
Asthenes flammulata_Keošikárik čiarkovaný
Asthenes fuliginosa_Keošikárik bielobradý
Asthenes griseomurina_Keošikárik myšací
Asthenes harterti_Keošikárik čiernohrdlý
Asthenes helleri_Keošikárik Hellerov
Asthenes heterura_Keošikárik horský
Asthenes huancavelicae_Keošikárik bledochvostý
Asthenes hudsoni_Keošikárik škvrnitý
Asthenes maculicauda_Keošikárik jarabochvostý
Asthenes modesta_Keošikárik kordillersky
Asthenes moreirae_Keošikárik dlhochvostý
Asthenes ottonis_Keošikárik hrdzavočelý
Asthenes palpebralis_Keošikárik okuliarnatý
Asthenes perijana_Keošikárik perijský
Asthenes pudibunda_Keošikárik kaňonový
Asthenes pyrrholeuca_Keošikárik ostrozobý
Asthenes sclateri_Keošikárik hnedokrídly
Asthenes urubambensis_Keošikárik machový
Asthenes virgata_Keošikárik junínsky
Asthenes wyatti_Keošikárik behavý
Atalotriccus pilaris_Meuchárčik žltooký
Atelornis crossleyi_Kerakľovec hrdzavohlavý
Atelornis pittoides_Kerakľovec bielohrdlý
Athene blewitti_Keuvik lesný
Athene brama_Keuvik škvrnitý
Athene cunicularia_Keuvik zemný
Athene noctua_Keuvik obyčajný
Athene superciliaris_Keuvik madagaskarský
Atimastillas flavicollis_Aefrobyl hájový
Atlapetes albinucha_Setrnádlik bielotylový
Atlapetes albofrenatus_Setrnádlik bielofúzy
Atlapetes crassus_Setrnádlik trojfarebný
Atlapetes flaviceps_Setrnádlik žltohlavý
Atlapetes fulviceps_Setrnádlik zelenkavý
Atlapetes fuscoolivaceus_Setrnádlik tmavohlavý
Atlapetes latinuchus_Setrnádlik hrdzavotylový
Atlapetes leucopis_Setrnádlik okuliarnatý
Atlapetes leucopterus_Setrnádlik bielokrídly
Atlapetes melanocephalus_Setrnádlik sivosluchý
Atlapetes melanolaemus_Setrnádlik čiernolíci
Atlapetes pallidiceps_Setrnádlik svetlohlavý
Atlapetes pallidinucha_Setrnádlik bledotylový
Atlapetes personatus_Setrnádlik kapucňový
Atlapetes pileatus_Setrnádlik hrdzavohlavý
Atlapetes rufigenis_Setrnádlik hrdzavosluchý
Atlapetes rufinucha_Setrnádlik bolívijský
Atlapetes schistaceus_Setrnádlik bridlicový
Atlapetes seebohmi_Setrnádlik peruánsky
Atlapetes semirufus_Setrnádlik okrovoprsý
Atlapetes tibialis_Setrnádlik pančuchový
Atlapetes tricolor_Setrnádlik tmavý
Atrichornis clamosus_Sekrabiar krikľavý
Atrichornis rufescens_Sekrabiar hrdzavý
Attagis gayi_Veýšinár hrdzavobruchý
Atthis ellioti_Wine-throated Hummingbird
Atthis heloisa_Bumblebee Hummingbird
