Bernieria madagascariensis_малагасійник
Bias musicus_приріт чубатий
Biatas nigropectus_сорокуш білобородий
Bleda canicapillus_бюльбюль-довгодзьоб сіроголовий
Bleda notatus_бюльбюль-довгодзьоб малий
Bleda syndactylus_бюльбюль-довгодзьоб рудохвостий
Blythipicus pyrrhotis_древняк смугастий
Blythipicus rubiginosus_древняк малий
Boissonneaua flavescens_колібрі-коронет зелений
Boissonneaua jardini_колібрі-коронет пурпуровий
Boissonneaua matthewsii_колібрі-коронет каштановогрудий
Bolborhynchus ferrugineifrons_катіта червонолобий
Bolborhynchus lineola_катіта панамський
Bolborhynchus orbygnesius_катіта андійський
Bolemoreus frenatus_медник чорновусий
Bombycilla cedrorum_омелюх американський
Bombycilla garrulus_омелюх звичайний
Bombycilla japonica_омелюх східноазійський
Bonasa umbellus_орябок американський
Bostrychia hagedash_гагедаш
Bostrychia rara_ібіс строкатошиїй
Botaurus lentiginosus_бугай американський
Botaurus pinnatus_бугай строкатий
Botaurus stellaris_бугай водяний
Brachygalba albogularis_якамара білогорла
Brachygalba lugubris_якамара бура
Brachypodius atriceps_Black-headed Bulbul
