Bonasa umbellus_Kragejerpe
Bostrychia hagedash_Hadadaibis
Bostrychia rara_Flekkibis
Botaurus lentiginosus_Amerikarørdrum
Botaurus pinnatus_Tykknebbrørdrum
Botaurus stellaris_Rørdrum
Brachygalba albogularis_Hvitmaskejakamar
Brachygalba lugubris_Brunjakamar
Brachypodius atriceps_Black-headed Bulbul
Brachypodius eutilotus_Puff-backed Bulbul
Brachypodius priocephalus_Gråhodebylbyl
Brachypodius urostictus_Yellow-wattled Bulbul
Brachypteryx cruralis_Himalayan Shortwing
Brachypteryx goodfellowi_Taiwan Shortwing
Brachypteryx hyperythra_Rustkortvinge
Brachypteryx leucophris_Alvekortvinge
