Abeillia abeillei_Zielaczek
Apus nipalensis_Jerzyk nepalski
Apus pacificus_Jerzyk białorzytny
Apus pallidus_Jerzyk blady
Apus unicolor_Jerzyk jednobarwny
Aquila adalberti_Orzeł iberyjski
Aquila chrysaetos_Orzeł przedni
Ara ararauna_(ara) ararauna
Ara chloropterus_Ara zielonoskrzydła
Ara macao_Ara żółtoskrzydła
Ara militaris_Ara zielona
Ara severus_Ara kasztanowoczelna
Arachnothera everetti_Pajęcznik łuskogłowy
Arachnothera flavigaster_Pajęcznik okularowy
Arachnothera longirostra_Pajęcznik długodzioby
Arachnothera magna_Pajęcznik kreskowany
Aramides albiventris_Chruścielak białobrzuchy
Aramides axillaris_Chruścielak rdzawoszyi
Aramides cajaneus_Chruścielak szaroszyi
Aramides saracura_Chruścielak śniady
Aramides wolfi_Chruścielak brunatny
Aramides ypecaha_Chruścielak wielki
Aramus guarauna_Bekaśnica
Aratinga auricapillus_Konura złotoczelna
Aratinga jandaya_Konura ognistobrzucha
Aratinga nenday_Konura czarnogłowa
Aratinga weddellii_Konura łuskogłowa
Arborophila ardens_Pstropiór maskowy
Arborophila atrogularis_Pstropiór czarnogardły
Arborophila campbelli_Pstropiór białowąsy
Arborophila chloropus_Scaly-breasted Partridge
Arborophila crudigularis_Pstropiór tajwański
Arborophila hyperythra_Pstropiór ciemnoboczny
Arborophila javanica_Pstropiór jawajski
Arborophila orientalis_Pstropiór białouchy
Arborophila rufogularis_Pstropiór rdzawogardły
Arborophila torqueola_Pstropiór obrożny
Arcanator orostruthus_Górodrozd nakrapiany
Archilochus alexandri_Koliberek czarnobrody
Archilochus colubris_Koliberek rubinobrody
Ardea alba_Czapla biała
Ardea cinerea_Czapla siwa
Ardea cocoi_Czapla czarnobrzucha
Ardea herodias_Czapla modra
Ardea intermedia_Czapla czarnonoga
Ardea purpurea_Czapla purpurowa
Ardenna creatopus_Burzyk różowonogi
Ardenna grisea_Burzyk szary
Ardenna pacifica_Burzyk klinosterny
Ardeola bacchus_Czapla białoskrzydła
Ardeola grayii_Czapla siodłata
Ardeola ralloides_Czapla modronosa
Arenaria interpres_Kamusznik (zwyczajny)
Arenaria melanocephala_Kamusznik czarnogłowy
Argusianus argus_Argus malajski
Arizelocichla chlorigula_Górobilbil żółtogardły
Arremon abeillei_Strojnogłowik czarnołbisty
Arremon assimilis_Strojnogłowik szaropręgi
Arremon atricapillus_Strojnogłowik wyżynny
Arremon aurantiirostris_Strojnogłowik złotodzioby
Arremon basilicus_Strojnogłowik kolumbijski
Arremon brunneinucha_Strojnogłowik białogardły
Arremon castaneiceps_Strojnogłowik oliwkowy
Arremon costaricensis_Strojnogłowik szarobrewy
Arremon crassirostris_Strojnogłowik wielkodzioby
Arremon flavirostris_Strojnogłowik szarogrzbiety
Arremon franciscanus_Strojnogłowik białopierśny
Arremon schlegeli_Strojnogłowik złotoskrzydły
Arremon semitorquatus_Strojnogłowik półobrożny
Arremon taciturnus_Strojnogłowik amazoński
Arremon torquatus_Strojnogłowik obrożny
Arremon virenticeps_Strojnogłowik prążkowany
Arremonops chloronotus_Ciszek zielonawy
Arremonops conirostris_Ciszek siwogłowy
Arremonops rufivirgatus_Ciszek oliwkowy
Arremonops tocuyensis_Ciszek ubogi
Arses telescopthalmus_Kryzówka srokata
Artamus cinereus_Ostrolot szary
Artamus cyanopterus_Ostrolot ciemny
Artamus fuscus_Ostrolot palmowy
Artamus leucorynchus_Ostrolot żałobny
Artamus maximus_Ostrolot duży
Artamus personatus_Ostrolot maskowy
Artamus superciliosus_Ostrolot białobrewy
Artemisiospiza belli_Ćwirek
Artemisiospiza nevadensis_Ćwirek plamkowany
