Asthenes maculicauda_Hernčiřík čárkoocasý
Asthenes modesta_Hernčiřík kordillerský
Asthenes moreirae_Oestrochvostka riodejaneirská
Asthenes ottonis_Hernčiřík rezavočelý
Asthenes palpebralis_Oestrochvostka kruhooká
Asthenes perijana_Oestrochvostka perijská
Asthenes pudibunda_Hernčiřík roklinový
Asthenes pyrrholeuca_Hernčiřík ostrozobý
Asthenes sclateri_Hernčiřík punový
Asthenes urubambensis_Hernčiřík velehorský
Asthenes virgata_Hernčiřík juninský
Asthenes wyatti_Hernčiřík andský
Atalotriccus pilaris_Teyránek světleoký
Atelornis crossleyi_Keurolec Crossleyův
Atelornis pittoides_Keurolec pitovitý
Athene blewitti_Seýček lesní
Athene brama_Seýček brahmínský
Athene cunicularia_Seýček králičí
Athene noctua_Seýček obecný
Athene superciliaris_Seovka madagaskarská
Atimastillas flavicollis_Beulbul žlutohrdlý
Atlapetes albinucha_Setrnádek bělošíjný
Atlapetes albofrenatus_Setrnádek bělovousý
Atlapetes crassus_Choco Brushfinch
Atlapetes flaviceps_Setrnádek kolumbijský
Atlapetes fulviceps_Setrnádek žlutovousý
Atlapetes fuscoolivaceus_Setrnádek hnědoolivový
Atlapetes latinuchus_Yellow-breasted Brushfinch
Atlapetes leucopis_Setrnádek obroučkový
Atlapetes leucopterus_Setrnádek běloskvrnný
Atlapetes melanocephalus_Setrnádek černohlavý
Atlapetes melanolaemus_Black-faced Brushfinch
Atlapetes pallidiceps_Setrnádek bledý
Atlapetes pallidinucha_Setrnádek šedotýlý
Atlapetes personatus_Setrnádek hnědohlavý
Atlapetes pileatus_Setrnádek čepičatý
Atlapetes rufigenis_Setrnádek rezavohlavý
Atlapetes rufinucha_Setrnádek rezavotýlý
Atlapetes schistaceus_Setrnádek šedočerný
Atlapetes seebohmi_Setrnádek ekvádorský
Atlapetes semirufus_Setrnádek hnědovousý
Atlapetes tibialis_Peipilo žlutostehenný
Atlapetes tricolor_Setrnádek tříbarvý
Atrichornis clamosus_Keřováček zvučný
Atrichornis rufescens_Keřováček rezavý
Attagis gayi_Peísečník rezavý
Atthis ellioti_Wine-throated Hummingbird
Atthis heloisa_Bumblebee Hummingbird
Atticora fasciata_Velaštovka bělopruhá
Atticora pileata_Black-capped Swallow
Atticora tibialis_White-thighed Swallow
Attila bolivianus_Aetila bělooký
Attila cinnamomeus_Aetila skořicový
Attila citriniventris_Aetila žlutobřichý
Attila phoenicurus_Aetila menší
Attila rufus_Aetila šedohlavý
Attila spadiceus_Aetila proměnlivý
Attila torridus_Aetila okrový
Augastes lumachella_Keolibřík krajkový
Augastes scutatus_Keolibřík čabrakový
Aulacorhynchus albivitta_Southern Emerald-Toucanet
Aulacorhynchus atrogularis_Black-throated Toucanet
Aulacorhynchus caeruleogularis_Blue-throated Toucanet
Aulacorhynchus coeruleicinctis_Aerassari modropruhý
Aulacorhynchus derbianus_Aerassari bledohrdlý
Aulacorhynchus haematopygus_Aerassari rudokostřecový
Aulacorhynchus prasinus_Aerassari smaragdový
Aulacorhynchus sulcatus_Aerassari modrolící
Auriparus flaviceps_Meoudivláček žlutohlavý
Automolus exsertus_Chiriqui Foliage-gleaner
Automolus infuscatus_Hernčiřík olivovohřbetý
Automolus lammi_Pernambuco Foliage-gleaner
Automolus leucophthalmus_Hernčiřík bělooký
Automolus melanopezus_Hernčiřík skrývavý
Automolus ochrolaemus_Hernčiřík plavohrdlý
Automolus paraensis_Para Foliage-gleaner
Automolus rufipileatus_Hernčiřík rezavotemenný
Automolus subulatus_Hernčiřík lesní
Automolus virgatus_Western Woodhaunter
